,name,floorPrice,marketCap,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,thirtyDayVolume,totalVolume,id
5764,Untitled Collection #63390941,0.0,0.03,3.0,3.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODY2OTE=
5765,Dino Nipples,0.0175,4.5,21.0,75.0,-0.8883720930232558,0.06,0.0,0.0,0.0,1.035,1.035,Q29sbGVjdGlvblN0YXRzVHlwZTo3OTc0NzQ=
5766,Bad Bunny Club,0.02,0.74,10.0,37.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5NjMyNjc=
5767,Cryingmonster,0.01,0.09999999999999999,5.0,10.0,0.0,0.06,0.0,0.01,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDA1NzU5
5768,Not Banksy,0.01,0.36,27.0,12.0,-0.25000000000000006,0.06,-1.0,0.0,-0.45620789220404234,0.565,2.124,Q29sbGVjdGlvblN0YXRzVHlwZTozNDYxNg==
5769,ABX_ Collection,0.06,0.36,2.0,6.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5Nzc1ODI=
5770,Hashfluids,0.03,124.14,6.0,4138.0,0.0,0.06,-1.0,0.0,1.0,0.06,0.12,Q29sbGVjdGlvblN0YXRzVHlwZTozODQ3MTE=
5771,CareBears Dystopian,0.02,0.19999999999999998,2.0,10.0,0.4999999999999999,0.06,0.0,0.0,0.0,0.1,0.1,Q29sbGVjdGlvblN0YXRzVHlwZTo4MDU0NTQ=
5772,Fud Punks,0.02,1.5999999999999999,7.0,80.0,-0.4000000000000001,0.06,0.0,0.06,0.0,0.16,0.16,Q29sbGVjdGlvblN0YXRzVHlwZTo5MzYxODA=
5773,Folded Chaos,0.06,0.42,2.0,7.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5MDQ2NTE=
5774,Dinosaur NFT V3,0.02,0.072,3.0,6.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODQ4MTg=
5775,Crypto Shit Squad,0.02,3.52,36.0,176.0,-0.7391304347826088,0.06,0.0,0.0,-0.2589600470035253,1.009,2.9506,Q29sbGVjdGlvblN0YXRzVHlwZTo3MTY5MjE=
5776,Big Head Soccer Club,0.01,0.75,10.0,25.0,-0.7818181818181819,0.06,0.0,0.03,0.0,0.335,0.335,Q29sbGVjdGlvblN0YXRzVHlwZTo4MzQyOTM=
5777,Fluffy Hedgehogs,0.02,0.19999999999999998,4.0,10.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo4NDYxOTI=
5778,404 Mental Health,0.08,0.12,2.0,2.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo4Mjg5Njc=
5779,Just Blocks,0.01,0.63,4.0,21.0,0.06,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo4MDYyMDA=
5780,Skullz of Wall Street - Bozz,0.05,15.059999999999999,21.0,251.0,-0.9333333333333333,0.06,0.0,0.0,1.217391304347826,1.02,1.48,Q29sbGVjdGlvblN0YXRzVHlwZTo3ODA4MTU=
5781,MissionDerpy,0.0488,48.839999999999996,47.0,814.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDEyNDcy
5782,Mystery Doors,0.01,0.37,2.0,37.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDA1NTY4
5783,TWOBzombie,0.02,0.18,2.0,9.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODY0OTU=
5784,ALL CAPS All-Digital Fan Collectibles,0.0666,0.24,75.0,4.0,0.0,0.06,0.0,0.0,-0.980523883489543,0.405,21.1997000000001,Q29sbGVjdGlvblN0YXRzVHlwZTo3NzExNjM=
5785,Gonzo,0.03,0.12,2.0,4.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo0MTIyNzg=
5786,Nanshu29,0.014,0.36,2.0,6.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo2ODI5OTg=
5787,2021splinydeformers,0.01,1.02,8.0,34.0,0.0,0.06,0.0,0.0,-0.9087868653086044,0.06,0.7178,Q29sbGVjdGlvblN0YXRzVHlwZTo1Mjk2MjY=
5788,Plan A -  Pixel Art,0.055,1.2,4.0,20.0,0.0,0.06,0.0,0.06,0.0,0.06,0.145,Q29sbGVjdGlvblN0YXRzVHlwZTo3MDA1MTg=
5789,Scott M NFTs,0.0,0.54,3.0,9.0,0.0,0.06,0.0,0.06,0.0,0.06,0.12,Q29sbGVjdGlvblN0YXRzVHlwZToyNDc0Nzc=
5790,Mindless Dream,1.0,0.38,6.0,19.0,0.0,0.06,-1.0,0.0,-0.28571428571428575,0.1,0.24,Q29sbGVjdGlvblN0YXRzVHlwZTo3NjQ3NTI=
5791,The beasts,0.05,0.3,3.0,10.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDI3NDM5
5792,Isabela's muses,0.08,0.24,3.0,4.0,1.0,0.06,0.0,0.06,0.0,0.09,0.09,Q29sbGVjdGlvblN0YXRzVHlwZTo4ODYwMDU=
5793,BoxCar Blues - Limited Series,0.057,0.03,5.0,1.0,-0.4736842105263158,0.06,0.0,0.0,0.0,0.174,0.174,Q29sbGVjdGlvblN0YXRzVHlwZTo5MDkxNDQ=
5794,Tim Beckhardt,0.04,0.15,3.0,5.0,0.0,0.06,1.0,0.04,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo3MzI2MDU=
5795,CryptoCyborgs,0.01,2.28,17.0,190.0,0.0,0.06,0.0,0.0,5.0,0.12,0.325,Q29sbGVjdGlvblN0YXRzVHlwZToxMDE3MTE=
5796,Linkster-br Collection,0.06,0.12,2.0,2.0,0.0,0.06,-1.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDAwMzU4
5797,Percy Penguin,0.035,3.84,37.0,128.0,-0.8983050847457628,0.06,0.0,0.0,10.2,0.84,0.915,Q29sbGVjdGlvblN0YXRzVHlwZTo3NzM3OTM=
5798,TwerkDickButts,0.029,1.56,15.0,52.0,1.0,0.06,0.0,0.0,0.0,0.950000000000001,1.2,Q29sbGVjdGlvblN0YXRzVHlwZTozMDY4MjI=
5799,Rhea's Rascals: Minting Factory,0.06,0.18,1.0,3.0,-0.6666666666666666,0.06,0.0,0.0,0.0,0.24,0.24,Q29sbGVjdGlvblN0YXRzVHlwZTo5MTQ5NjE=
5800,Untitled Collection #67505845,0.0,0.06,1.0,1.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDQ0NjYy
